,edition,round,year,competition,score_only,team1_score,team2_score,goal_diff,team1_edit,team2_edit
0,1930-URUGUAY,GROUP_STAGE,1930,WorldCup,4-1,4,1,3,France,Mexico
1,1930-URUGUAY,GROUP_STAGE,1930,WorldCup,3-0,3,0,3,USA,Belgium
2,1930-URUGUAY,GROUP_STAGE,1930,WorldCup,2-1,2,1,1,Yugoslavia,Brazil
3,1930-URUGUAY,GROUP_STAGE,1930,WorldCup,3-1,3,1,2,Romania,Peru
4,1930-URUGUAY,GROUP_STAGE,1930,WorldCup,1-0,1,0,1,Argentina,France
5,1930-URUGUAY,GROUP_STAGE,1930,WorldCup,3-0,3,0,3,Chile,Mexico
6,1930-URUGUAY,GROUP_STAGE,1930,WorldCup,4-0,4,0,4,Yugoslavia,Bolivia
7,1930-URUGUAY,GROUP_STAGE,1930,WorldCup,3-0,3,0,3,USA,Paraguay
8,1930-URUGUAY,GROUP_STAGE,1930,WorldCup,1-0,1,0,1,Uruguay,Peru
9,1930-URUGUAY,GROUP_STAGE,1930,WorldCup,1-0,1,0,1,Chile,France
10,1930-URUGUAY,GROUP_STAGE,1930,WorldCup,6-3,6,3,3,Argentina,Mexico
11,1930-URUGUAY,GROUP_STAGE,1930,WorldCup,4-0,4,0,4,Brazil,Bolivia
12,1930-URUGUAY,GROUP_STAGE,1930,WorldCup,1-0,1,0,1,Paraguay,Belgium
13,1930-URUGUAY,GROUP_STAGE,1930,WorldCup,4-0,4,0,4,Uruguay,Romania
14,1930-URUGUAY,GROUP_STAGE,1930,WorldCup,3-1,3,1,2,Argentina,Chile
15,1930-URUGUAY,1/2_FINAL,1930,WorldCup,6-1,6,1,5,Argentina,USA
16,1930-URUGUAY,1/2_FINAL,1930,WorldCup,6-1,6,1,5,Uruguay,Yugoslavia
17,1930-URUGUAY,_FINAL,1930,WorldCup,4-2,4,2,2,Uruguay,Argentina
18,1934-ITALY,PRELIMINARY-Europe,1933,WorldCup,6-2,6,2,4,Sweden,Estonia
19,1934-ITALY,PRELIMINARY-Europe,1933,WorldCup,0-2,0,2,-2,Lithuania,Sweden
20,1934-ITALY,PRELIMINARY-Europe,1933,WorldCup,2-2,2,2,0,Yugoslavia,Switzerland
21,1934-ITALY,PRELIMINARY-Europe,1933,WorldCup,1-2,1,2,-1,Poland,Czechoslovakia
22,1934-ITALY,PRELIMINARY-Europe,1933,WorldCup,2-0,2,0,2,Switzerland,Romania
23,1934-ITALY,PRELIMINARY-N/C.America,1934,WorldCup,1-3,1,3,-2,Haiti,Cuba
24,1934-ITALY,PRELIMINARY-N/C.America,1934,WorldCup,1-1,1,1,0,Haiti,Cuba
25,1934-ITALY,PRELIMINARY-N/C.America,1934,WorldCup,0-6,0,6,-6,Haiti,Cuba
26,1934-ITALY,PRELIMINARY-Europe,1934,WorldCup,4-4,4,4,0,Irish Free State,Belgium
27,1934-ITALY,PRELIMINARY-N/C.America,1934,WorldCup,3-2,3,2,1,Mexico,Cuba
28,1934-ITALY,PRELIMINARY-Europe,1934,WorldCup,9-0,9,0,9,Spain,Portugal
29,1934-ITALY,PRELIMINARY-Europe,1934,WorldCup,1-9,1,9,-8,Luxembourg,Germany
30,1934-ITALY,PRELIMINARY-N/C.America,1934,WorldCup,5-0,5,0,5,Mexico,Cuba
31,1934-ITALY,PRELIMINARY-N.E.,1934,WorldCup,7-1,7,1,6,Egypt,Palestine
32,1934-ITALY,PRELIMINARY-Europe,1934,WorldCup,1-2,1,2,-1,Portugal,Spain
33,1934-ITALY,PRELIMINARY-N/C.America,1934,WorldCup,4-1,4,1,3,Mexico,Cuba
34,1934-ITALY,PRELIMINARY-Europe,1934,WorldCup,4-0,4,0,4,Italy,Greece
35,1934-ITALY,PRELIMINARY-Europe,1934,WorldCup,1-4,1,4,-3,Bulgaria,Hungary
36,1934-ITALY,PRELIMINARY-N.E.,1934,WorldCup,1-4,1,4,-3,Palestine,Egypt
37,1934-ITALY,PRELIMINARY-Europe,1934,WorldCup,5-2,5,2,3,Netherlands,Irish Free State
38,1934-ITALY,PRELIMINARY-Europe,1934,WorldCup,1-6,1,6,-5,Luxembourg,France
39,1934-ITALY,PRELIMINARY-Europe,1934,WorldCup,6-1,6,1,5,Austria,Bulgaria
40,1934-ITALY,PRELIMINARY-Europe,1934,WorldCup,4-1,4,1,3,Hungary,Bulgaria
41,1934-ITALY,PRELIMINARY-Europe,1934,WorldCup,2-1,2,1,1,Romania,Yugoslavia
42,1934-ITALY,PRELIMINARY-Europe,1934,WorldCup,2-4,2,4,-2,Belgium,Netherlands
43,1934-ITALY,PRELIMINARY-N/C.America,1934,WorldCup,4-2,4,2,2,USA,Mexico
44,1934-ITALY,FIRST,1934,WorldCup,7-1,7,1,6,Italy,USA
45,1934-ITALY,FIRST,1934,WorldCup,3-2,3,2,1,Austria,France
46,1934-ITALY,FIRST,1934,WorldCup,5-2,5,2,3,Germany,Belgium
47,1934-ITALY,FIRST,1934,WorldCup,2-1,2,1,1,Czechoslovakia,Romania
48,1934-ITALY,FIRST,1934,WorldCup,3-2,3,2,1,Switzerland,Netherlands
49,1934-ITALY,FIRST,1934,WorldCup,3-2,3,2,1,Sweden,Argentina
50,1934-ITALY,FIRST,1934,WorldCup,3-1,3,1,2,Spain,Brazil
51,1934-ITALY,FIRST,1934,WorldCup,4-2,4,2,2,Hungary,Egypt
